snapshot_date,product_id,warehouse_id,quantity_on_hand,reorder_point
2026-05-27,PROD-00139,STORE-001,267,27
2026-08-21,PROD-00260,STORE-008,400,34
2026-07-16,PROD-00089,STORE-003,434,42
2026-07-11,PROD-00248,STORE-007,239,44
2026-07-11,PROD-00242,STORE-007,295,45
2026-08-03,PROD-00160,STORE-021,93,32
2026-06-20,PROD-00034,STORE-022,239,29
2026-07-28,PROD-00277,STORE-004,60,26
2026-07-27,PROD-00293,STORE-002,176,31
2026-07-29,PROD-00208,STORE-025,114,12
2026-06-05,PROD-00006,STORE-025,184,23
2026-08-06,PROD-00070,STORE-004,349,39
2026-08-13,PROD-00222,STORE-019,249,39
2026-07-20,PROD-00244,STORE-006,167,35
2026-06-10,PROD-00185,STORE-015,117,19
2026-07-25,PROD-00070,STORE-004,371,10
2026-08-02,PROD-00037,STORE-023,261,37
2026-06-12,PROD-00287,STORE-025,220,38
2026-08-21,PROD-00010,STORE-014,221,32
2026-08-13,PROD-00071,STORE-017,257,27
2026-07-24,PROD-00279,STORE-024,184,36
2026-07-19,PROD-00268,STORE-023,208,14
2026-08-08,PROD-00125,STORE-002,450,50
2026-07-29,PROD-00020,STORE-020,475,46
2026-07-11,PROD-00057,STORE-025,385,50
2026-06-13,PROD-00018,STORE-020,178,23
2026-08-12,PROD-00079,STORE-002,467,33
2026-06-25,PROD-00187,STORE-003,243,25
2026-08-17,PROD-00039,STORE-015,416,49
2026-05-27,PROD-00040,STORE-017,28,23
2026-08-18,PROD-00041,STORE-015,246,42
2026-07-27,PROD-00292,STORE-022,274,38
2026-06-15,PROD-00190,STORE-014,460,30
2026-06-22,PROD-00186,STORE-022,458,29
2026-08-10,PROD-00262,STORE-013,149,24
2026-08-11,PROD-00149,STORE-018,149,38
2026-08-14,PROD-00193,STORE-005,241,50
2026-06-21,PROD-00148,STORE-003,270,11
2026-06-06,PROD-00127,STORE-003,374,30
2026-08-09,PROD-00163,STORE-007,404,33
2026-07-14,PROD-00054,STORE-004,234,19
2026-06-22,PROD-00297,STORE-003,359,14
