transaction_id,store_id,product_id,customer_id,quantity,unit_price,timestamp,payment_method
TXN-0002079,STORE-006,PROD-00044,CUST-000408,5,136.55,26-03-2026,cash
TXN-0000679,STORE-005,PROD-00282,CUST-000487,1,311.97,2026-04-11T02:05:32,mobile_wallet
TXN-0000958,STORE-012,PROD-00004,CUST-000269,2,105.24,05-02-2026,cash
TXN-0002382,STORE-019,PROD-00196,CUST-000010,1,190.23,2026-02-20T12:43:07,mobile_wallet
TXN-0003956,STORE-019,PROD-00265,CUST-000414,2,47.36,2025-08-27T21:23:50,cash
TXN-0003363,STORE-021,PROD-00162,CUST-000074,3,101.72,2026-04-23T04:29:39,card
TXN-0000397,STORE-018,PROD-00172,CUST-000286,1,197.18,31-03-2026,mobile_wallet
TXN-0004529,STORE-009,PROD-00099,CUST-000760,3,139.51,2025-11-03T13:59:50,card
TXN-0000672,STORE-020,PROD-00024,CUST-000252,5,131.49,2026-06-27T13:54:01,cash
TXN-0003518,STORE-012,PROD-00101,CUST-000569,4,102.13,15-04-2026,mobile_wallet
TXN-0000416,STORE-004,PROD-00174,CUST-000213,4,195.74,16-08-2026,card
TXN-0004177,STORE-006,PROD-00160,CUST-000684,2,168.5,2026-07-01T16:57:05,mobile_wallet
TXN-0000072,STORE-014,PROD-00177,CUST-000731,5,52.67,13-11-2025,cash
TXN-0004375,STORE-023,PROD-00207,CUST-000965,2,170.21,2026-07-15T20:41:23,cash
TXN-0003144,STORE-007,PROD-00108,CUST-000874,1,196.31,08-04-2026,mobile_wallet
TXN-0004765,STORE-022,PROD-00016,CUST-000879,3,50.67,10/24/2025 14:23,cash
TXN-0004287,STORE-010,PROD-00278,CUST-000586,4,401.02,03-11-2025,mobile_wallet
TXN-0000356,STORE-002,PROD-00098,CUST-000525,2,258.04,2026-01-29T10:40:27,cash
TXN-0002808,STORE-003,PROD-00144,CUST-000578,-3,362.55,08-09-2025,mobile_wallet
TXN-0003633,STORE-007,PROD-00085,CUST-000783,1,188.57,27-08-2025,card
TXN-0003160,STORE-002,PROD-00114,CUST-000766,1,3.79,23-11-2025,mobile_wallet
TXN-0002176,STORE-001,PROD-00122,CUST-000442,1,427.3,11/19/2025 08:43,cash
TXN-0003057,STORE-004,PROD-00263,CUST-000724,4,265.75,10/16/2025 02:43,card
TXN-0003748,STORE-003,SKU000010,CUST-000265,1,96.14,07/31/2026 00:06,mobile_wallet
TXN-0003707,STORE-017,PROD-00177,CUST-000357,4,52.67,05/26/2026 00:16,card
TXN-0001163,STORE-011,PROD-00288,CUST-000249,3,112.73,03/17/2026 19:06,cash
TXN-0001316,STORE-019,PROD-00029,CUST-000232,5,235.83,17-07-2026,card
TXN-0002976,STORE-011,PROD-00248,CUST-000033,5,31.77,11/13/2025 10:34,mobile_wallet
TXN-0001444,STORE-013,PROD-00046,CUST-000608,5,68.42,01/19/2026 19:21,cash
TXN-0001352,STORE-024,PROD-00239,CUST-000334,2,296.37,15-10-2025,mobile_wallet
TXN-0002710,STORE-004,sku000076 ,CUST-000981,1,27.66,02/21/2026 23:29,mobile_wallet
TXN-0002118,STORE-001,PROD-00276,CUST-000251,5,193.7,08/16/2026 17:04,card
TXN-0004810,STORE-008,PROD-00038,CUST-000552,1,261.73,07/15/2026 04:43,mobile_wallet
TXN-0001200,STORE-005,PROD-00289,CUST-000091,5,265.35,08/30/2025 14:26,mobile_wallet
TXN-0003920,STORE-025,PROD-00267,CUST-000763,2,271.24,08/24/2025 01:34,mobile_wallet
TXN-0001043,STORE-015,PROD-00182,CUST-000305,4,92.63,23-01-2026,card
TXN-0004443,STORE-014,PROD-00241,CUST-000275,4,7.24,16-01-2026,mobile_wallet
TXN-0004138,STORE-007,SKU000031,CUST-000427,1,283.68,05/26/2026 16:34,mobile_wallet
TXN-0002023,STORE-004,SKU000093,CUST-000561,5,253.66,23-10-2025,cash
TXN-0002048,STORE-003,PROD-00032,CUST-000253,2,277.74,2025-09-26T06:57:38,card
TXN-0003485,STORE-008,PROD-00118,CUST-000431,3,265.0,23-05-2026,mobile_wallet
TXN-0002764,STORE-019,PROD-00192,CUST-000963,4,57.16,2026-03-29T02:57:05,cash
TXN-0002916,STORE-004,PROD-00280,CUST-000277,1,30.75,15-01-2026,card
TXN-0002945,STORE-020,PROD-00236,CUST-000795,5,47.02,03/29/2026 19:08,cash
TXN-0002151,STORE-011,PROD-00032,CUST-000133,4,277.74,01/05/2026 20:13,card
TXN-0002950,STORE-020,PROD-00269,CUST-000118,1,340.17,01/11/2026 14:34,card
TXN-0002121,STORE-004,PROD-00149,CUST-000925,4,197.41,07/16/2026 15:46,card
TXN-0000468,STORE-022,PROD-00091,CUST-000505,3,98.64,06/04/2026 00:01,card
TXN-0002482,STORE-010,SKU000119,CUST-000680,3,221.95,25-01-2026,mobile_wallet
TXN-0002437,STORE-016,PROD-00058,CUST-000649,5,230.62,01/09/2026 12:30,mobile_wallet
TXN-0003754,STORE-002,PROD-00088,CUST-000902,2,250.66,11/27/2025 00:55,mobile_wallet
TXN-0001383,STORE-001,PROD-00204,CUST-000333,5,220.1,2026-04-26T14:54:55,mobile_wallet
TXN-0001602,STORE-007,PROD-00294,CUST-000482,4,125.57,2026-02-22T23:38:01,mobile_wallet
TXN-0004178,STORE-013,PROD-00251,CUST-000175,5,304.44,2026-01-20T23:37:50,mobile_wallet
TXN-0004389,STORE-018,PROD-00297,CUST-000123,1,297.41,02/03/2026 05:35,cash
TXN-0001101,STORE-014,PROD-00095,CUST-000474,5,165.36,27-02-2026,cash
TXN-0000802,STORE-019,PROD-00033,CUST-000684,5,182.35,2025-11-10T12:19:19,card
TXN-0001806,STORE-018,PROD-00053,CUST-000794,4,209.68,2025-12-02T08:39:22,card
TXN-0000388,STORE-016,PROD-00051,CUST-000296,2,248.42,14-02-2026,mobile_wallet
TXN-0001485,STORE-011,PROD-00087,CUST-000137,3,347.77,15-07-2026,card
TXN-0000249,STORE-015,PROD-00098,CUST-000501,4,258.04,12/06/2025 15:19,cash
TXN-0002160,STORE-013,PROD-00247,CUST-000134,-1,30.45,2025-09-18T14:40:54,cash
TXN-0004950,STORE-024,PROD-00240,CUST-000054,5,100.07,03-06-2026,card
TXN-0002890,STORE-020,PROD-00188,CUST-000259,1,61.17,01/31/2026 22:01,cash
TXN-0004783,STORE-021,PROD-00288,CUST-000736,4,112.73,2026-06-28T10:15:26,mobile_wallet
TXN-0004836,STORE-014,PROD-00072,CUST-000185,3,73.06,2026-05-23T04:58:50,card
TXN-0002389,STORE-024,PROD-00226,CUST-000143,1,208.87,07/23/2026 11:29,cash
TXN-0001559,STORE-010,PROD-00105,CUST-000450,1,126.39,01/21/2026 05:40,card
TXN-0001039,STORE-014,PROD-00089,CUST-000831,3,18.86,2026-07-10T07:20:43,cash
TXN-0002698,STORE-015,PROD-00070,CUST-000271,4,267.33,2026-01-06T00:35:57,mobile_wallet
TXN-0002475,STORE-024,PROD-00243,CUST-000362,1,190.7,2026-01-27T14:30:00,card
TXN-0002101,STORE-024,PROD-00241,CUST-000652,4,7.24,2026-07-06T10:16:21,mobile_wallet
TXN-0003341,STORE-021,PROD-00238,CUST-000436,2,110.16,06-10-2025,card
TXN-0003019,STORE-022,PROD-00230,CUST-000532,5,29.05,07/03/2026 10:15,mobile_wallet
TXN-0001472,STORE-001,PROD-00130,CUST-000678,4,93.35,2026-08-13T14:44:19,mobile_wallet
TXN-0000603,STORE-012,PROD-00063,CUST-000021,1,222.33,16-06-2026,cash
TXN-0002914,STORE-013,PROD-00122,CUST-000561,4,427.3,09/26/2025 08:05,card
TXN-0003965,STORE-001,PROD-00273,CUST-000277,0,440.02,25-12-2025,mobile_wallet
TXN-0001445,STORE-011,PROD-00243,CUST-000998,2,190.7,14-04-2026,cash
TXN-0000666,STORE-001,SKU000185,CUST-000030,2,329.62,08/31/2025 12:12,mobile_wallet
TXN-0000221,STORE-002,PROD-00058,CUST-000959,2,230.62,09/25/2025 12:11,card
TXN-0001356,STORE-007,SKU999999,CUST-000720,2,246.02,2026-06-14T19:56:01,mobile_wallet
TXN-0000891,STORE-020,PROD-00272,CUST-000275,2,149.44,15-12-2025,mobile_wallet
TXN-0002768,STORE-010,PROD-00141,CUST-000980,5,312.06,2025-12-05T00:58:23,mobile_wallet
TXN-0004751,STORE-013,PROD-00149,CUST-000733,1,197.41,2026-03-08T03:25:36,cash
TXN-0001940,STORE-011,PROD-00293,CUST-000482,5,146.52,01-04-2026,card
TXN-0003220,STORE-022,PROD-00177,CUST-000767,4,52.67,2026-02-22T14:28:28,card
TXN-0003432,STORE-008,PROD-00206,CUST-000470,1,275.13,2026-04-01T19:37:52,mobile_wallet
TXN-0000473,STORE-025,PROD-00299,CUST-000019,3,239.33,08/30/2025 02:36,cash
TXN-0002869,STORE-008,PROD-00266,CUST-000387,3,21.53,02/16/2026 10:35,cash
TXN-0001107,STORE-025,PROD-00044,CUST-000165,5,136.55,2026-07-25T01:56:37,mobile_wallet
TXN-0003837,STORE-019,PROD-00019,CUST-000415,5,114.13,11-03-2026,cash
TXN-0004522,STORE-017,PROD-00033,CUST-000261,4,182.35,26-11-2025,cash
TXN-0001423,STORE-003,PROD-00039,CUST-000102,1,183.97,28-10-2025,cash
TXN-0002955,STORE-015,PROD-00253,CUST-000352,4,288.42,09/05/2025 10:03,mobile_wallet
TXN-0004920,STORE-012,SKU000054,CUST-000395,1,267.97,02-03-2026,mobile_wallet
TXN-0003625,STORE-021,PROD-00228,CUST-000146,2,168.6,2026-06-09T05:33:23,card
TXN-0001380,STORE-019,PROD-00267,CUST-000812,3,271.24,07/30/2026 21:56,cash
TXN-0003270,STORE-023,PROD-00105,CUST-000890,1,126.39,24-02-2026,cash
TXN-0003007,STORE-017,PROD-00104,CUST-000414,5,124.94,15-02-2026,cash
TXN-0001015,STORE-020,PROD-00116,CUST-000760,4,162.81,23-04-2026,mobile_wallet
TXN-0004838,STORE-018,PROD-00069,CUST-000497,5,201.76,05/07/2026 12:47,cash
TXN-0002076,STORE-001,PROD-00225,CUST-000294,5,372.01,02/15/2026 16:01,mobile_wallet
TXN-0001672,STORE-020,PROD-00119,CUST-000727,4,221.95,03-09-2025,card
TXN-0000736,STORE-007,PROD-00085,CUST-000077,2,188.57,03/22/2026 12:10,cash
TXN-0000360,STORE-021,PROD-00073,CUST-000771,1,41.57,2025-08-27T08:59:12,card
TXN-0004683,STORE-008,PROD-00014,CUST-000019,5,26.37,2026-03-02T20:53:07,mobile_wallet
TXN-0001235,STORE-018,PROD-00084,CUST-000215,2,147.66,09-07-2026,cash
TXN-0001652,STORE-024,PROD-00089,CUST-000976,3,18.86,16-12-2025,cash
TXN-0003610,STORE-009,PROD-00253,CUST-000574,3,288.42,10/29/2025 13:22,cash
TXN-0003635,STORE-015,PROD-00244,CUST-000640,4,26.03,08/25/2025 05:11,mobile_wallet
TXN-0001070,STORE-009,PROD-00103,CUST-000175,4,219.77,2026-07-20T12:01:23,mobile_wallet
TXN-0000052,STORE-019,PROD-00155,CUST-000421,5,266.89,10/14/2025 15:57,mobile_wallet
TXN-0002175,STORE-015,PROD-00093,CUST-000196,1,253.66,2026-06-02T18:21:53,mobile_wallet
TXN-0002797,STORE-009,PROD-00268,CUST-000362,2,159.92,03/19/2026 16:29,card
TXN-0002568,STORE-020,PROD-00039,CUST-000189,4,183.97,25-01-2026,card
