store_id,region,channel
STORE-001,Southern,in_store
STORE-002,Central,in_store
STORE-003,Western,in_store
STORE-004,Northern,in_store
STORE-005,Southern,in_store
STORE-006,Central,in_store
STORE-007,Western,in_store
STORE-008,Western,in_store
STORE-009,Southern,in_store
STORE-010,Southern,in_store
STORE-011,Northern,in_store
STORE-012,Southern,in_store
STORE-013,Northern,in_store
STORE-014,Central,in_store
STORE-015,Southern,in_store
STORE-016,Northern,in_store
STORE-017,Southern,in_store
STORE-018,Central,in_store
STORE-019,Central,in_store
STORE-020,Northern,in_store
STORE-021,Western,in_store
STORE-022,Central,in_store
STORE-023,Central,in_store
STORE-024,Central,in_store
STORE-025,Central,in_store
